,FIRE_ID,Fire Name,Acres,Date,Fire Type,LATITUDE,LONGITUDE,time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
0,AL3026908763820110625,POSSUM ROAD,924.0,2011-06-25,Wildfire,30.276,-87.631,'2011-06-25',53,31.8,24.3,28.0,36.3,28.2,32.5,'2011-06-25T05:48','2011-06-25T19:57',24.88,0.8,0.8,0.0,2.0,13.6,28.1,219,5.41
1,AL3034808781020141129,MAGNOLIA SPRINGS,803.0,2014-11-29,Wildfire,30.34,-87.808,'2014-11-29',1,19.3,12.1,16.0,17.3,9.6,14.4,'2014-11-29T07:27','2014-11-29T17:51',12.9,0.0,0.0,0.0,0.0,15.2,30.2,151,2.58
2,AL3038308812219980404,UNNAMED,705.0,1998-04-04,Wildfire,30.383,-88.122,'1998-04-04',0,21.6,15.1,18.7,21.1,11.5,17.0,'1998-04-04T06:36','1998-04-04T19:14',25.75,0.0,0.0,0.0,0.0,20.6,37.1,337,5.14
3,AL3040308827519960214,UNNAMED,987.0,1996-02-14,Wildfire,30.403,-88.275,'1996-02-14',0,17.4,11.1,14.2,15.2,7.3,11.4,'1996-02-14T07:33','1996-02-14T18:41',17.76,0.0,0.0,0.0,0.0,24.1,45.4,213,2.91
4,AL3041008828620070325,BAYOU LB,3066.0,2007-03-25,Wildfire,30.41,-88.286,'2007-03-25',3,24.9,16.1,20.5,27.2,17.1,21.9,'2007-03-25T06:49','2007-03-25T19:08',22.86,0.0,0.0,0.0,0.0,12.4,25.2,155,4.15
5,AL3041008830120050916,BAY FIRE,2914.0,2005-09-16,Wildfire,30.41,-88.301,'2005-09-16',1,31.0,25.4,27.9,36.0,28.8,31.7,'2005-09-16T06:37','2005-09-16T18:58',20.65,0.0,0.0,0.0,0.0,11.4,20.2,240,4.79
6,AL3041708839520000921,MURPHY,894.0,2000-09-21,Wildfire,30.417,-88.395,'2000-09-21',63,27.8,25.2,26.2,32.2,29.4,31.1,'2000-09-21T06:40','2000-09-21T18:52',12.34,7.8,7.8,0.0,13.0,13.8,31.3,91,2.5
7,AL3043608742120030529,UNNAMED,1278.0,2003-05-29,Wildfire,30.436,-87.411,'2003-05-29',1,28.1,20.4,24.2,30.1,21.1,25.3,'2003-05-29T05:47','2003-05-29T19:46',26.31,0.0,0.0,0.0,0.0,15.0,34.6,275,5.67
8,AL3048208745720060303,LILLIAN SWAMP,1587.0,2006-03-03,Wildfire,30.482,-87.457,'2006-03-03',0,22.2,13.9,17.9,20.4,9.8,15.7,'2006-03-03T07:12','2006-03-03T18:51',20.03,0.0,0.0,0.0,0.0,16.7,36.4,357,4.47
9,AL3053908745520110605,SEMINOLE FIRE,1329.0,2011-06-05,Wildfire,30.541,-87.468,'2011-06-05',55,32.2,25.5,28.2,37.9,31.0,33.3,'2011-06-05T05:45','2011-06-05T19:50',20.09,3.7,3.7,0.0,7.0,10.2,35.6,158,4.35
